Key,File,Line,Severity,Type,Rule,Message,Status
AZ_Qr421s5KeDF11f9IG,frontend/src/app/(warehouse)/warehouse/team/page.tsx,125,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr421s5KeDF11f9IH,frontend/src/app/(warehouse)/warehouse/team/page.tsx,151,MINOR,CODE_SMELL,typescript:S7773,Prefer `Number.parseInt` over `parseInt`.,OPEN
AZ_Qr44Zs5KeDF11f9Jz,frontend/src/app/template.tsx,6,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
AZ_Qr4rTs5KeDF11f9Cf,frontend/src/components/auth/ProtectedRoute.tsx,27,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
AZ_Qr4q-s5KeDF11f9CS,frontend/src/components/dashboards/FinanceDashboard.tsx,214,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4rKs5KeDF11f9CY,frontend/src/components/dashboards/WarehouseDashboard.tsx,150,MAJOR,CODE_SMELL,typescript:S3358,Extract this nested ternary operation into an independent statement.,OPEN
AZ_Qr4rKs5KeDF11f9Ca,frontend/src/components/dashboards/WarehouseDashboard.tsx,250,MAJOR,CODE_SMELL,typescript:S6479,Do not use Array index in keys,OPEN
AZ_Qr4qes5KeDF11f9B1,frontend/src/components/providers/AppProviders.tsx,13,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
AZ_Qr4qJs5KeDF11f9Bj,frontend/src/components/shared/CustomsSidebar.tsx,5,MINOR,CODE_SMELL,typescript:S1128,Remove this unused import of 'Globe'.,OPEN
AZ_Qr4qJs5KeDF11f9Bk,frontend/src/components/shared/CustomsSidebar.tsx,58,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4pQs5KeDF11f9BP,frontend/src/components/shared/FinanceSidebar.tsx,4,MINOR,CODE_SMELL,typescript:S3863,'next/navigation' imported multiple times.,OPEN
AZ_Qr4pQs5KeDF11f9BQ,frontend/src/components/shared/FinanceSidebar.tsx,9,MINOR,CODE_SMELL,typescript:S3863,'next/navigation' imported multiple times.,OPEN
AZ_Qr4pQs5KeDF11f9BR,frontend/src/components/shared/FinanceSidebar.tsx,62,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4ozs5KeDF11f9BF,frontend/src/components/shared/LogisticsSidebar.tsx,5,MINOR,CODE_SMELL,typescript:S1128,Remove this unused import of 'Truck'.,OPEN
AZ_Qr4ozs5KeDF11f9BG,frontend/src/components/shared/LogisticsSidebar.tsx,58,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4p3s5KeDF11f9Be,frontend/src/components/shared/PublicNavbar.tsx,110,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4pZs5KeDF11f9BS,frontend/src/components/shared/SupportSidebar.tsx,58,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4qAs5KeDF11f9Bg,frontend/src/components/shared/WarehouseSidebar.tsx,4,MINOR,CODE_SMELL,typescript:S3863,'next/navigation' imported multiple times.,OPEN
AZ_Qr4qAs5KeDF11f9Bh,frontend/src/components/shared/WarehouseSidebar.tsx,9,MINOR,CODE_SMELL,typescript:S3863,'next/navigation' imported multiple times.,OPEN
AZ_Qr4qAs5KeDF11f9Bi,frontend/src/components/shared/WarehouseSidebar.tsx,63,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4pjs5KeDF11f9BT,frontend/src/components/shared/WorldMap.tsx,22,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
AZ_Qr4pjs5KeDF11f9BU,frontend/src/components/shared/WorldMap.tsx,26,MINOR,CODE_SMELL,typescript:S7769,Prefer `Math.hypot(…)` over `Math.sqrt(…)`.,OPEN
AZ_Qr4ois5KeDF11f9A_,frontend/src/components/ui/FormField.tsx,26,CRITICAL,CODE_SMELL,typescript:S3776,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,OPEN
AZ_Qr4ois5KeDF11f9BA,frontend/src/components/ui/FormField.tsx,26,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
AZ_Qr4ois5KeDF11f9BB,frontend/src/components/ui/FormField.tsx,70,MAJOR,CODE_SMELL,typescript:S3358,Extract this nested ternary operation into an independent statement.,OPEN
AZ_Qr4ois5KeDF11f9BC,frontend/src/components/ui/FormField.tsx,81,MAJOR,CODE_SMELL,typescript:S3358,Extract this nested ternary operation into an independent statement.,OPEN
AZ_Qr4ois5KeDF11f9BD,frontend/src/components/ui/FormField.tsx,92,MAJOR,CODE_SMELL,typescript:S3358,Extract this nested ternary operation into an independent statement.,OPEN
AZ_Qr4oHs5KeDF11f9A2,frontend/src/components/ui/LiveMap.tsx,7,MINOR,CODE_SMELL,typescript:S6767,'lat' PropType is defined but prop is never used,OPEN
AZ_Qr4oHs5KeDF11f9A3,frontend/src/components/ui/LiveMap.tsx,8,MINOR,CODE_SMELL,typescript:S6767,'lng' PropType is defined but prop is never used,OPEN
AZ_Qr4oHs5KeDF11f9A4,frontend/src/components/ui/LiveMap.tsx,24,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
AZ_Qr4oHs5KeDF11f9A5,frontend/src/components/ui/LiveMap.tsx,88,MAJOR,CODE_SMELL,typescript:S6479,Do not use Array index in keys,OPEN
AZ_Qr4oHs5KeDF11f9A6,frontend/src/components/ui/LiveMap.tsx,157,MAJOR,CODE_SMELL,typescript:S6479,Do not use Array index in keys,OPEN
AZ_Qr4oZs5KeDF11f9A-,frontend/src/components/ui/button.tsx,12,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4n1s5KeDF11f9Ay,frontend/src/components/ui/card.tsx,15,MAJOR,CODE_SMELL,typescript:S6850,Headings must have content and the content must be accessible by a screen reader.,OPEN
AZ_Qr46ds5KeDF11f9Kb,frontend/src/context/AuthContext.tsx,50,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
AZ_Qr46rs5KeDF11f9Kc,frontend/src/context/ToastContext.tsx,44,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
AZ_Qr46ss5KeDF11f9Kd,frontend/src/context/ToastContext.tsx,53,MAJOR,VULNERABILITY,typescript:S2245,Make sure that using this pseudorandom number generator is safe here.,OPEN
AZ_Qr46ss5KeDF11f9Ke,frontend/src/context/ToastContext.tsx,83,MAJOR,CODE_SMELL,typescript:S6819,"Use <output> instead of the ""status"" role to ensure accessibility across all devices.",OPEN
AZ_Qr46Rs5KeDF11f9Ka,frontend/src/lib/auth-store.ts,183,CRITICAL,CODE_SMELL,typescript:S1186,Unexpected empty function 'setSession'.,OPEN
AZ_Qr45_s5KeDF11f9KR,frontend/src/lib/validation.ts,24,MAJOR,CODE_SMELL,typescript:S8786,"Simplify this regular expression to reduce its runtime, as it has super-linear performance due to backtracking.",OPEN
AZ_Qr45_s5KeDF11f9KU,frontend/src/lib/validation.ts,58,MINOR,CODE_SMELL,typescript:S6353,Use concise character class syntax '\d' instead of '[0-9]'.,OPEN
AZ_Qr45_s5KeDF11f9KY,frontend/src/lib/validation.ts,145,MINOR,CODE_SMELL,typescript:S6353,Use concise character class syntax '\d' instead of '[0-9]'.,OPEN
